Folio;Numbeo
Afghanistan;Afghanistan
Afghanistan;Afghanistan
Angola;Angola
Albania;Albania
United Arab Emirates;United Arab Emirates
Argentina;Argentina
Armenia;Armenia
Australia;Australia
Austria;Austria
Azerbaijan;Azerbaijan
Belgium;Belgium
Bangladesh;Bangladesh
Bulgaria;Bulgaria
The Bahamas;Bahamas
Bosnia and Herzegovina;Bosnia And Herzegovina
Belarus;Belarus
Bermuda;Bermuda
Bolivia;Bolivia
Brazil;Brazil
Brunei;Brunei
Botswana;Botswana
Canada;Canada
Switzerland;Switzerland
Chile;Chile
China;China
Cameroon;Cameroon
Colombia;Colombia
Costa Rica;Costa Rica
Cuba;Cuba
Cyprus;Cyprus
Czech Republic;Czech Republic
Germany;Germany
Denmark;Denmark
Dominican Republic;Dominican Republic
Algeria;Algeria
Ecuador;Ecuador
Egypt;Egypt
Spain;Spain
Estonia;Estonia
Ethiopia;Ethiopia
Finland;Finland
France;France
United Kingdom;United Kingdom
Georgia;Georgia
Ghana;Ghana
Greece;Greece
Guatemala;Guatemala
Honduras;Honduras
Croatia;Croatia
Hungary;Hungary
Indonesia;Indonesia
India;India
Ireland;Ireland
Iran;Iran
Iraq;Iraq
Iceland;Iceland
Israel;Israel
Italy;Italy
Jamaica;Jamaica
Jordan;Jordan
Japan;Japan
Kazakhstan;Kazakhstan
Kenya;Kenya
Kyrgyzstan;Kyrgyzstan
Cambodia;Cambodia
South Korea;South Korea
Kosovo;Kosovo (Disputed Territory)
Kuwait;Kuwait
Laos;Laos
Lebanon;Lebanon
Libya;Libya
Sri Lanka;Sri Lanka
Lithuania;Lithuania
Luxembourg;Luxembourg
Latvia;Latvia
Morocco;Morocco
Moldova;Moldova
Mexico;Mexico
Malta;Malta
Myanmar;Myanmar
Montenegro;Montenegro
Mongolia;Mongolia
Mozambique;Mozambique
Malaysia;Malaysia
Namibia;Namibia
Nigeria;Nigeria
Nicaragua;Nicaragua
Netherlands;Netherlands
Norway;Norway
Nepal;Nepal
New Zealand;New Zealand
Oman;Oman
Pakistan;Pakistan
Panama;Panama
Peru;Peru
Philippines;Philippines
Papua New Guinea;Papua New Guinea
Poland;Poland
Puerto Rico;Puerto Rico
Portugal;Portugal
Paraguay;Paraguay
Qatar;Qatar
Romania;Romania
Russia;Russia
Saudi Arabia;Saudi Arabia
Sudan;Sudan
El Salvador;El Salvador
Republic of Serbia;Serbia
Suriname;Suriname
Slovakia;Slovakia
Slovenia;Slovenia
Sweden;Sweden
Syria;Syria
Thailand;Thailand
Turkmenistan;Turkmenistan
Trinidad and Tobago;Trinidad And Tobago
Tunisia;Tunisia
Turkey;Turkey
Taiwan;Taiwan
United Republic of Tanzania;Tanzania
Uganda;Uganda
Ukraine;Ukraine
Uruguay;Uruguay
United States of America;United States
Uzbekistan;Uzbekistan
Venezuela;Venezuela
Vietnam;Vietnam
South Africa;South Africa
Zambia;Zambia
Zimbabwe;Zimbabwe
